1992,Cinematography,A River Runs through It
1992,Costume Design,Bram Stoker's Dracula
1992,Directing,Unforgiven
1992,Documentary (Feature),The Panama Deception
1992,Documentary (Short Subject),Educating Peter
1992,Film Editing,Unforgiven
1992,Foreign Language Film,Indochine
1992,Makeup,Bram Stoker's Dracula
1992,Music (Scoring),Aladdin
1992,Music (Song),Aladdin
1992,Best Picture,Unforgiven
1992,Short Film (Animated),Mona Lisa Descending a Staircase
1992,Short Film (Live Action),Omnibus
1992,Sound,The Last of the Mohicans
1992,Sound Editing,Bram Stoker's Dracula
1992,Visual Effects,Death Becomes Her
1992,Writing,Howards End
1992,Writing,The Crying Game
1991,Actor -- Leading Role,Anthony Hopkins
1991,Actor -- Supporting Role,Jack Palance
1991,Actress -- Leading Role,Jodie Foster
1991,Actress -- Supporting Role,Mercedes Ruehl
1991,Art Direction,Bugsy
1991,Cinematography,JFK
1991,Costume Design,Bugsy
1991,Directing,The Silence of the Lambs
1991,Documentary (Feature),In the Shadow of the Stars
1991,Documentary (Short Subject),"Deadly Deception: General Electric, Nuclear Weapons and Our Environment"
1991,Film Editing,JFK
1991,Foreign Language Film,Mediterraneo
1991,Makeup,Terminator 2: Judgment Day
1991,Music (Scoring),Beauty and the Beast
1991,Music (Song),Beauty and the Beast
1991,Best Picture,The Silence of the Lambs
1991,Short Film (Animated),Manipulation
1991,Short Film (Live Action),Session Man
1991,Sound,Terminator 2: Judgment Day
1991,Sound Editing,Terminator 2: Judgment Day
1991,Visual Effects,Terminator 2: Judgment Day
1991,Writing,The Silence of the Lambs
1991,Writing,Thelma & Louise
1991,Irving G. Thalberg Memorial Award,George Lucas
1990,Actor -- Leading Role,Jeremy Irons
1990,Actor -- Supporting Role,Joe Pesci
1990,Actress -- Leading Role,Kathy Bates
1990,Actress -- Supporting Role,Whoopi Goldberg
1990,Art Direction,Dick Tracy
1990,Cinematography,Dances With Wolves
1990,Costume Design,Cyrano de Bergerac
1990,Directing,Dances With Wolves
1990,Documentary (Feature),American Dream
1990,Documentary (Short Subject),Days of Waiting
1990,Film Editing,Dances With Wolves
1990,Foreign Language Film,Journey of Hope
1990,Makeup,Dick Tracy
1990,Music (Scoring),Dances With Wolves
1990,Music (Song),Dick Tracy
1990,Best Picture,Dances With Wolves
1990,Short Film (Animated),Creature Comforts
1990,Short Film (Live Action),The Lunch Date
1990,Sound,Dances With Wolves
1990,Sound Editing,The Hunt for Red October
1990,Visual Effects,Total Recall
1990,Writing,Dances With Wolves
1990,Writing,Ghost
1990,Irving G. Thalberg Memorial Award,David Brown and Richard D. Zanuck
1989,Actor -- Leading Role,Daniel Day Lewis
1989,Actor -- Supporting Role,Denzel Washington
1989,Actress -- Leading Role,Jessica Tandy
1989,Actress -- Supporting Role,Brenda Fricker
1989,Art Direction,Batman
1989,Cinematography,Glory
1989,Costume Design,Henry V
1989,Directing,Born on the Fourth of July
1989,Documentary (Feature),Common Threads: Stories from the Quilt
1989,Documentary (Short Subject),The Johnstown Flood
1989,Film Editing,Born on the Fourth of July
1989,Foreign Language Film,Cinema Paradiso
1989,Makeup,Driving Miss Daisy
1989,Music (Scoring),The Little Mermaid
1989,Music (Song),The Little Mermaid
1989,Best Picture,Driving Miss Daisy
1989,Short Film (Animated),Balance
1989,Short Film (Live Action),Work Experience
1989,Sound,Glory
1989,Sound Editing,Indiana Jones and the Last Crusade
1989,Visual Effects,The Abyss
1989,Writing,Driving Miss Daisy
1989,Writing,Dead Poets Society
1988,Actor -- Leading Role,Dustin Hoffman
1988,Actor -- Supporting Role,Kevin Kline
1988,Actress -- Leading Role,Jodie Foster
1988,Actress -- Supporting Role,Geena Davis
1988,Animated Feature Film,To Richard Williams for the animation direction of Who Framed Roger Rabbit.
1988,Art Direction,Dangerous Liaisons
1988,Cinematography,Mississippi Burning
1988,Costume Design,Dangerous Liaisons
1988,Directing,Rain Man
1988,Documentary (Feature),Hotel Terminus: The Life and Times of Klaus Barbie
1988,Documentary (Short Subject),You Don't Have to Die
1988,Film Editing,Who Framed Roger Rabbit
1988,Foreign Language Film,Pelle the Conqueror
1988,Makeup,Beetlejuice
1988,Music (Scoring),The Milagro Beanfield War
1988,Music (Song),Working Girl
1988,Best Picture,Rain Man
1988,Short Film (Animated),Tin Toy
1988,Short Film (Live Action),The Appointments of Dennis Jennings
1988,Sound,Bird
1988,Sound Editing,Who Framed Roger Rabbit
1988,Visual Effects,Who Framed Roger Rabbit
1988,Writing,Dangerous Liaisons
1988,Writing,Rain Man
1987,Actor -- Leading Role,Michael Douglas
1987,Actor -- Supporting Role,Sean Connery
1987,Actress -- Leading Role,Cher
1987,Actress -- Supporting Role,Olympia Dukakis
1987,Art Direction,The Last Emperor
1987,Cinematography,The Last Emperor
1987,Costume Design,The Last Emperor
1987,Directing,The Last Emperor
1987,Documentary (Feature),The Ten-Year Lunch: The Wit and Legend of the Algonquin Round Table
1987,Documentary (Short Subject),Young at Heart
1987,Film Editing,The Last Emperor
1987,Foreign Language Film,Babette's Feast
1987,Makeup,Harry and the Hendersons
1987,Music (Scoring),The Last Emperor
1987,Music (Song),Dirty Dancing
1987,Best Picture,The Last Emperor
1987,Short Film (Animated),The Man Who Planted Trees
1987,Short Film (Live Action),Ray's Male Heterosexual Dance Hall
1987,Sound,The Last Emperor
1987,Sound Editing,RoboCop
1987,Visual Effects,Innerspace
1987,Writing,The Last Emperor
1987,Writing,Moonstruck
1987,Irving G. Thalberg Memorial Award,Billy Wilder
1986,Actor -- Leading Role,Paul Newman
1986,Actor -- Supporting Role,Michael Caine
1986,Actress -- Leading Role,Marlee Matlin
1986,Actress -- Supporting Role,Dianne Wiest
1986,Art Direction,A Room with a View
1986,Cinematography,The Mission
1986,Costume Design,A Room with a View
1986,Directing,Platoon
1986,Documentary (Feature),Artie Shaw: Time Is All You've Got
1986,Documentary (Feature),Down and Out in America
1986,Documentary (Short Subject),"Women--for America, for the World"
1986,Film Editing,Platoon
1986,Foreign Language Film,The Assault
1986,Makeup,The Fly
1986,Music (Scoring),'Round Midnight
1986,Music (Song),Top Gun
1986,Best Picture,Platoon
1986,Short Film (Animated),A Greek Tragedy
1986,Short Film (Live Action),Precious Images
1986,Sound,Platoon
1986,Sound Editing,Aliens
1986,Visual Effects,Aliens
1986,Writing,A Room with a View
1986,Writing,Hannah and Her Sisters
1986,Irving G. Thalberg Memorial Award,Steven Spielberg
1985,Actor -- Leading Role,William Hurt
1985,Actor -- Supporting Role,Don Ameche
1985,Actress -- Leading Role,Geraldine Page
1985,Actress -- Supporting Role,Anjelica Huston
1985,Art Direction,Out of Africa
1985,Cinematography,Out of Africa
1985,Costume Design,Ran
1985,Directing,Out of Africa
1985,Documentary (Feature),Broken Rainbow
1985,Documentary (Short Subject),Witness to War: Dr. Charlie Clements
1985,Film Editing,Witness
1985,Foreign Language Film,The Official Story
1985,Makeup,Mask
1985,Music (Scoring),Out of Africa
1985,Music (Song),White Nights
1985,Best Picture,Out of Africa
1985,Short Film (Animated),Anna & Bella
1985,Short Film (Live Action),Molly's Pilgrim
1985,Sound,Out of Africa
1985,Sound Editing,Back to the Future
1985,Visual Effects,Cocoon
1985,Writing,Out of Africa
1985,Writing,Witness
1984,Actor -- Leading Role,F. Murray Abraham
1984,Actor -- Supporting Role,Haing S. Ngor
1984,Actress -- Leading Role,Sally Field
1984,Actress -- Supporting Role,Peggy Ashcroft
1984,Art Direction,Amadeus
1984,Cinematography,The Killing Fields
1984,Costume Design,Amadeus
1984,Directing,Amadeus
1984,Documentary (Feature),The Times of Harvey Milk
1984,Documentary (Short Subject),The Stone Carvers
1984,Film Editing,The Killing Fields
1984,Foreign Language Film,Dangerous Moves
1984,Makeup,Amadeus
1984,Music (Scoring),A Passage to India
1984,Music (Scoring),Purple Rain
1984,Music (Song),The Woman in Red
1984,Best Picture,Amadeus
1984,Short Film (Animated),Charade
1984,Short Film (Live Action),Up
1984,Sound,Amadeus
1984,Sound Editing,The River
1984,Visual Effects,Indiana Jones and the Temple of Doom
1984,Writing,Amadeus
1984,Writing,Places in the Heart
1983,Actor -- Leading Role,Robert Duvall
1983,Actor -- Supporting Role,Jack Nicholson
1983,Actress -- Leading Role,Shirley MacLaine
1983,Actress -- Supporting Role,Linda Hunt
1983,Art Direction,Fanny & Alexander
1983,Cinematography,Fanny & Alexander
1983,Costume Design,Fanny & Alexander
1983,Directing,Terms of Endearment
1983,Documentary (Feature),He Makes Me Feel Like Dancin'
